video_id,url,published,age_days,mature_7d,title,duration_s,duration_bucket,views,likes,comments,title_chars,title_words,caps_share,question,payoff_named,withholding,likes_per_1k_views
X4z6W4QMhqM,https://www.youtube.com/shorts/X4z6W4QMhqM,2026-08-19,0,False,that car was playing bowling...,9,0-9s,1524,25,,31,5,0.0,False,False,True,16.404
8kqN6zvDA_4,https://www.youtube.com/shorts/8kqN6zvDA_4,2026-08-19,0,False,beautiful save,19,15-19s,976,20,,14,2,0.0,False,True,False,20.492
gQzLniyHnkA,https://www.youtube.com/shorts/gQzLniyHnkA,2026-08-13,6,False,well that went wrong... #caseoh #funny #gaming #twitch,13,10-14s,12116,52,,23,4,0.0,False,True,True,4.292
534h9Uhcen4,https://www.youtube.com/shorts/534h9Uhcen4,2026-08-12,7,True,Caseoh reacts to a CRAZY biSON clip! #caseoh,10,10-14s,2072,23,1,36,7,0.1429,False,False,True,11.1
52vmx3ninUE,https://www.youtube.com/shorts/52vmx3ninUE,2026-08-04,15,True,Caseoh loses his patience again..  #caseoh #twitch,30,30-60s,1377,14,2,33,5,0.0,False,True,False,10.167
uK_DVlpqnLo,https://www.youtube.com/shorts/uK_DVlpqnLo,2026-07-31,19,True,Caseoh and Dashe getting mad at a guy over sm shorts..  #funny #caseoh #twitch,11,10-14s,8438,48,6,54,11,0.0,False,False,False,5.689
Ud4uPAvEc6Y,https://www.youtube.com/shorts/Ud4uPAvEc6Y,2026-07-29,21,True,Caseoh dating advice gone wrong!,12,10-14s,4622,48,1,32,5,0.0,False,True,False,10.385
PNnEQPuAZAA,https://www.youtube.com/shorts/PNnEQPuAZAA,2026-07-29,21,True,Why is caseoh so random.,8,0-9s,31884,128,7,24,5,0.0,False,False,False,4.015
1arbpoCzfzw,https://www.youtube.com/shorts/1arbpoCzfzw,2026-07-27,23,True,He got em all wrong.. CASEOH QUIZ TIME?!  #funny #caseoh,21,20-29s,2100,17,31,40,8,0.375,True,True,False,8.095
Rso3jTwB-T0,https://www.youtube.com/shorts/Rso3jTwB-T0,2026-07-26,24,True,DO NOT SCAN THIS QR CODE in this game! #funny #twitch #maj0r,23,20-29s,914,10,2,38,9,0.6667,False,False,True,10.941
IaICt9Yl1x0,https://www.youtube.com/shorts/IaICt9Yl1x0,2026-07-25,25,True,Caseoh SHOOTS his customers and HUNTS DOWN NORBERT  #caseoh #funny,16,15-19s,20174,157,7,50,8,0.5,False,True,False,7.782
jIT4JsrSBuA,https://www.youtube.com/shorts/jIT4JsrSBuA,2026-07-24,26,True,CASEOH gets his IMAGES LEAKED!  #caseoh #funny,20,20-29s,637,9,1,30,5,0.6,False,True,False,14.129
VDR4Lr0cKok,https://www.youtube.com/shorts/VDR4Lr0cKok,2026-07-24,26,True,Caseoh GUESSES THE CRAZIEST WORD in Wordle!  #caseoh #wordle #funnymoments,17,15-19s,1047,15,,43,7,0.5714,False,False,False,14.327
NkhRt3s2zIs,https://www.youtube.com/shorts/NkhRt3s2zIs,2026-07-24,26,True,Caseoh FACES KIDS in SPARTA!  #caseoh #funny,16,15-19s,6005,29,3,28,5,0.6,False,False,False,4.829
Gg0sux6wTX8,https://www.youtube.com/shorts/Gg0sux6wTX8,2026-07-24,26,True,I tried saving him...  #caseoh #funny,16,15-19s,1036,12,,21,4,0.0,False,False,False,11.583
PSsfqaMBrwc,https://www.youtube.com/shorts/PSsfqaMBrwc,2026-07-23,27,True,Caseoh gets HACKED LIVE ON STREAM! #caseoh #funny #helpmemakethismakesense #twitch,25,20-29s,892,7,,34,6,0.6667,False,True,False,7.848
2vD7BzFJ5oo,https://www.youtube.com/shorts/2vD7BzFJ5oo,2026-07-23,27,True,Caseoh crashes out about sweet food!  #caseoh #twitch #funny,28,20-29s,972,8,1,36,6,0.0,False,True,False,8.23
nTTMxcWNWnQ,https://www.youtube.com/shorts/nTTMxcWNWnQ,2026-07-21,29,True,CASEOH SNAPS AT A HIGHSCHOOLER PILOT!  #caseoh #funny,28,20-29s,971,10,1,37,6,0.8333,False,True,False,10.299
jgKtKs0RkQ4,https://www.youtube.com/shorts/jgKtKs0RkQ4,2026-07-21,29,True,LISTEN CLOSE! Caseoh's noises made it into a game...  #caseoh #funny,31,30-60s,676,10,2,52,10,0.2,False,False,False,14.793
0j6u0cPepKA,https://www.youtube.com/shorts/0j6u0cPepKA,2026-07-17,33,True,JYNXZI FINDS ABOUT STREAMSNIPERS IN CLASH ROYALE! #jynxzi #clashroyale #controversyvideo,29,20-29s,670,14,9,49,7,1.0,False,False,False,20.896
mGY0wwPP_Uo,https://www.youtube.com/shorts/mGY0wwPP_Uo,2026-07-16,34,True,Caseoh gets HUMANGOUS in slitherio!  #caseoh #funny,25,20-29s,750,11,7,35,5,0.2,False,False,False,14.667
iDjP4uh7tVQ,https://www.youtube.com/shorts/iDjP4uh7tVQ,2026-07-16,34,True,Caseoh gets JUMPSCARED BADLY! #caseoh #horror #funny y,31,30-60s,705,12,1,34,5,0.4,False,True,False,17.021
LMG4c7qNxd8,https://www.youtube.com/shorts/LMG4c7qNxd8,2026-07-14,36,True,CASEOH EATS HIS ENEMIES! and fails miserably #caseoh #slitherio #funnyclips,23,20-29s,1381,10,3,44,7,0.5714,False,True,False,7.241
oPetR3_cJ7k,https://www.youtube.com/shorts/oPetR3_cJ7k,2026-07-12,38,True,CASEOH catches A CRAZIEST spot in MECCACHAMELEON!  #caseoh  #funny,19,15-19s,3213,13,2,49,7,0.4286,False,True,False,4.046
gbqiAJTS230,https://www.youtube.com/shorts/gbqiAJTS230,2026-07-10,40,True,Jynxzi catches CORRUPT cops in Gta 5 RP! #shorts #jynxzi,28,20-29s,8607,93,8,40,8,0.2857,False,True,False,10.805
d6CfqtS9peM,https://www.youtube.com/shorts/d6CfqtS9peM,2026-07-10,40,True,wait for the screaming...  #caseoh,23,20-29s,2118,21,,25,4,0.0,False,False,True,9.915
_Kpi684q3TU,https://www.youtube.com/shorts/_Kpi684q3TU,2026-07-10,40,True,JYNXZI is flabbergasted by the worst hiding spot in the game! #jynxzi #mecchachameleon,18,15-19s,11,1,,61,11,0.0909,False,False,False,90.909
5s16izYRdT4,https://www.youtube.com/shorts/5s16izYRdT4,2026-07-10,40,True,Caseoh GETS CRAZY on a REAL LIFE MONSTER  #caseoh #funny,22,20-29s,16,1,,40,8,0.625,False,False,True,62.5
DIgyJaWINSA,https://www.youtube.com/shorts/DIgyJaWINSA,2026-07-09,41,True,I finally became a doctor!  #caseoh #funny,28,20-29s,980,27,1,26,5,0.0,False,True,False,27.551
zJ4Mpy7qNGQ,https://www.youtube.com/shorts/zJ4Mpy7qNGQ,2026-07-08,42,True,CaseOh summons a tornado with his weight!  #caseoh #funny,13,10-14s,1124,25,1,41,7,0.0,False,False,False,22.242
qTEHYknx4h0,https://www.youtube.com/shorts/qTEHYknx4h0,2026-07-08,42,True,Caseoh panicked so hard he caused a tornado  #caseoh #funny,19,15-19s,3882,36,4,43,8,0.0,False,True,False,9.274
